period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,Y02669,1009,3237,3237,469,1333,1333
janfeb,Y02671,5479,11800,11800,3942,7255,7255
janfeb,Y02672,4333,8358,8358,3151,5347,5347
janfeb,Y02674,474,869,869,329,585,585
janfeb,Y02676,5469,8790,8790,5041,6786,6786
janfeb,Y02684,2499,3010,3010,856,999,999
janfeb,Y02686,1691,4505,4505,642,1691,1691
janfeb,Y02692,8268,11032,11032,5398,5921,5921
janfeb,Y02707,3617,6516,6516,1470,2634,2634
janfeb,Y02713,953,2666,2666,447,1040,1040
janfeb,Y02718,2179,3589,3589,1426,2191,2191
janfeb,Y02720,1680,3591,3591,1223,2084,2084
janfeb,Y02721,2039,3863,3863,1445,2376,2376
janfeb,Y02736,2764,4640,4640,1912,2816,2816
janfeb,Y02751,15753,20014,20014,2923,4456,4456
janfeb,Y02753,2286,4567,4567,1823,2866,2866
janfeb,Y02755,1653,4736,4736,866,2084,2084
janfeb,Y02757,9744,14756,14756,8510,10996,10996
janfeb,Y02767,2488,4495,4495,2140,3142,3142
janfeb,Y02769,7158,9668,9668,1824,2186,2186
janfeb,Y02790,3205,5534,5534,2803,3772,3772
janfeb,Y02794,7807,8859,8859,3332,3444,3444
janfeb,Y02795,1618,3927,3927,1137,2002,2002
janfeb,Y02807,5733,10983,10983,1972,3176,3176
janfeb,Y02827,1392,3186,3186,878,1680,1680
janfeb,Y02842,5494,11064,11064,2750,5100,5100
janfeb,Y02847,6103,8393,8393,4146,4616,4616
janfeb,Y02849,4203,6590,6590,2286,3322,3322
janfeb,Y02867,2522,4439,4439,1850,2592,2592
janfeb,Y02873,1047,1145,1145,781,822,822
janfeb,Y02875,1966,8289,8289,859,1157,1157
janfeb,Y02885,1149,2303,2303,910,1560,1560
janfeb,Y02886,1821,2955,2955,1615,2247,2247
janfeb,Y02890,4848,6750,6750,2417,3510,3510
janfeb,Y02893,16494,24792,24792,7656,9878,9878
janfeb,Y02900,5931,11929,11929,1618,3089,3089
janfeb,Y02906,5383,7524,7524,3942,4360,4360
janfeb,Y02928,10472,15586,15586,3771,5578,5578
janfeb,Y02933,2248,5432,5432,1779,3562,3562
janfeb,Y02936,764,1961,1961,310,830,830
janfeb,Y02946,1303,4167,4167,765,2081,2081
janfeb,Y02960,1347,2908,2908,756,1384,1384
janfeb,Y02973,3368,5767,5767,2256,3504,3504
janfeb,Y02974,3991,6617,6617,2567,3550,3550
janfeb,Y02986,1742,3092,3092,855,1520,1520
janfeb,Y02987,10536,18336,18336,4854,6945,6945
janfeb,Y03023,11947,20811,20811,8950,12043,12043
janfeb,Y03035,4703,10408,10408,2916,6369,6369
janfeb,Y03049,18274,24282,24282,13248,15471,15471
janfeb,Y03052,13587,19776,19776,10790,13873,13873
janfeb,Y03063,2651,5345,5345,2186,3694,3694
janfeb,Y03079,5050,12188,12188,2393,5071,5071
janfeb,Y03103,40,293,293,38,248,248
janfeb,Y03124,4071,6094,6094,1933,2316,2316
janfeb,Y03135,2125,4927,4927,1636,2782,2782
janfeb,Y03222,3255,6870,6870,2223,3334,3334
janfeb,Y03366,1933,3884,3884,721,1312,1312
janfeb,Y03402,6148,12230,12230,4550,7119,7119
janfeb,Y03441,4725,6419,6419,3512,4025,4025
janfeb,Y03595,3080,6862,6862,1376,2174,2174
janfeb,Y03597,9320,11069,11069,6758,7259,7259
janfeb,Y03602,3601,7415,7415,2408,3847,3847
janfeb,Y03663,3122,6059,6059,2196,3795,3795
janfeb,Y03664,4545,5941,5941,3737,4327,4327
janfeb,Y03755,5158,9235,9235,2860,4754,4754
janfeb,Y04225,6392,7181,7181,4281,4846,4846
janfeb,Y04266,2262,4268,4268,624,969,969
janfeb,Y04273,12571,17241,17241,9432,11597,11597
janfeb,Y04662,3392,5655,5655,2626,3340,3340
janfeb,Y04664,982,2821,2821,706,1341,1341
janfeb,Y04809,1640,3245,3245,778,1195,1195
janfeb,Y04882,2481,4031,4031,924,1522,1522
janfeb,Y04884,2540,3937,3937,1104,1637,1637
janfeb,Y04925,3451,4495,4495,648,876,876
janfeb,Y04957,37450,54192,54192,5142,9631,9631
janfeb,Y04965,7689,13691,13691,5465,8282,8282
janfeb,Y04969,3470,5158,5158,972,1617,1617
janfeb,Y04977,3175,6408,6408,1690,2420,2420
